paese,isrc,uri,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo;;;;;;;;;;;;;;;;;,all_genres
Australia,USUG12401038,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,0.658,0.255,0.0471,0.761,0.0,0.328,106.935;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401041,spotify:track:2v1ivOOsgn64g5OywuH55L,0.476,0.411,0.0639,0.524,0.0,0.297,142.252;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401042,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,0.639,0.439,0.0288,0.437,0.0,0.376,100.083;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401043,spotify:track:1UlhrRvYzbHEyugEDspXUB,0.675,0.328,0.0264,0.644,0.00149,0.249,104.021;;;;;;;;;;;;;;;;;,pop
"Australia,USSM12401865,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,""['irish singer-songwriter', 'modern rock', 'pov: indie']"",0.741,0.62,0.0412,0.0295,0.000809,0.934,117.038;;;;;;;;;;;;;;;;;",,,,,,,,,,
Australia,USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,0.0603,0.151,0.0,0.219,105.029;;;;;;;;;;;;;;;;;,singer-songwriter pop
Australia,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647;;;;;;;;;;;;;;;;;,
Australia,USUM72403305,spotify:track:2qSkIjg1o9h3YT9RAgYN75,0.701,0.771,0.0293,0.133,1.17e-05,0.661,103.982;;;;;;;;;;;;;;;;;,pop
Australia,USUM72212470,spotify:track:0mflMxspEfB0VbI1kyLiAv,0.662,0.488,0.0682,0.782,0.0,0.817,117.913;;;;;;;;;;;;;;;;;,pov: indie
Australia,USUG12401046,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.533,0.292,0.0378,0.675,0.0,0.205,154.128;;;;;;;;;;;;;;;;;,pop
Australia,USUG12402541,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.785,0.4,0.0642,0.639,0.0,0.143,110.025;;;;;;;;;;;;;;;;;,pop
"Australia,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,""['pov: indie', 'psychedelic pop']"",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982;;;;;;;;;;;;;;;;;",,,,,,,,,,
Australia,USUG12402546,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.619,0.533,0.0337,0.613,0.0,0.287,95.956;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988;;;;;;;;;;;;;;;;;,pop
Austria,QZJ842400387,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.599,0.946,0.0447,0.000938,0.0106,0.747,151.647;;;;;;;;;;;;;;;;;,
Austria,USUG12401029,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.595,0.421,0.0261,0.0518,1.56e-06,0.261,110.305;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401030,spotify:track:05msZuGKP3OCUGQnvLBOf4,0.593,0.582,0.0285,0.165,0.0,0.436,97.079;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401032,spotify:track:0mWVScJbxO3tbXuiZOxYZE,0.488,0.545,0.317,0.73,0.0046,0.301,160.096;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,0.546,0.36,0.0774,0.554,0.0,0.181,159.755;;;;;;;;;;;;;;;;;,pop
Austria,DEE862400427,spotify:track:48lxT5qJF0yYyf2z4wB4xW,0.788,0.936,0.301,0.0229,1.3e-06,0.844,151.019;;;;;;;;;;;;;;;;;,
Austria,USUG12401033,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.414,0.716,0.134,0.388,0.0,0.448,79.274;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401035,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,0.524,0.568,0.143,0.204,0.0,0.42,150.044;;;;;;;;;;;;;;;;;,pop
"Austria,USSM12401865,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,""['irish singer-songwriter', 'modern rock', 'pov: indie']"",0.741,0.62,0.0412,0.0295,0.000809,0.934,117.038;;;;;;;;;;;;;;;;;",,,,,,,,,,
Austria,QZL382406049,spotify:track:6XjDF6nds4DE2BBbagZol6,0.791,0.499,0.0509,0.446,2.41e-05,0.669,99.986;;;;;;;;;;;;;;;;;,reggaeton chileno
Austria,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.7,0.763,0.0513,0.147,0.0,0.226,130.018;;;;;;;;;;;;;;;;;,pop
Austria,USWB12307016,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,0.0603,0.151,0.0,0.219,105.029;;;;;;;;;;;;;;;;;,singer-songwriter pop
Austria,QM24S2400638,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,0.646,0.668,0.0282,0.491,0.0,0.64,90.969;;;;;;;;;;;;;;;;;,singer-songwriter pop
Austria,USUG12401037,spotify:track:36t6frENUtCYKuZus6aYDO,0.592,0.37,0.0495,0.307,0.0,0.249,119.87;;;;;;;;;;;;;;;;;,pop
"Austria,FR2X42437864,spotify:track:3Ei9luHsYy0dpdrhjF9Z3r,""['frauenrap', 'german hip hop']"",0.656,0.472,0.0722,0.278,0,0.358,116.012;;;;;;;;;;;;;;;;;",,,,,,,,,,
Austria,USUG12401034,spotify:track:3fO566xJgwxIa3qGCGBvIC,0.303,0.489,0.0443,0.621,0.0,0.325,77.403;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401036,spotify:track:0W0iAC1VGlB82PI6elxFYf,0.625,0.421,0.0265,0.614,0.0,0.435,94.977;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401039,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.613,0.262,0.0385,0.866,0.0,0.197,97.92;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401038,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,0.658,0.255,0.0471,0.761,0.0,0.328,106.935;;;;;;;;;;;;;;;;;,pop
Austria,USUG12401041,spotify:track:2v1ivOOsgn64g5OywuH55L,0.476,0.411,0.0639,0.524,0.0,0.297,142.252;;;;;;;;;;;;;;;;;,pop
Austria,NLZ542301810,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,0.875,0.518,0.0551,0.0638,0.00995,0.37,126.089;;;;;;;;;;;;;;;;;,
