Country,Track Name,Artists
AU,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),Elmatadormc7
AU,Eva (feat. Tedua),"Kid Yugi, Tedua, Junior K"
AU,Belong Together,Mark Ambor
AU,100 MESSAGGI,Lazza
AU,¿Cómo Pasó?,Ela Taubert
AU,Accidente,Las Ligas Menores
AU,Qual é seu desejo?,"Tz da Coronel, Ryu, The Runner, Nagalli, Cúpula"
AU,Smart,LE SSERAFIM
AU,Stumblin' In,CYRIL
AU,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AU,Lilith,Kid Yugi
AU,Bling-Bang-Bang-Born,Creepy Nuts
AU,De 10 Mulher 11 É Maluca,"MC Saci, MC Fahah, DJ Sammer, Dj Lc"
AU,Yeah Glo!,GloRilla
AU,Little Bit Better,"Caleb Hearn, ROSIE"
AU,Irish Pub Song,The High Kings
AU,"ZEIT, DASS SICH WAS DREHT","$OHO BANI, Herbert Grönemeyer, Ericson"
AU,Kitchen Stove,Pozer
AU,MONTAGEM DIAMANTE ROSA - SLOWED,"vtze archive, Mc Ster"
AU,Lose Control,Teddy Swims
AU,Dono da Porsche (Bom Dia Princesa),MC Reino
AU,Sen Evlisin,Gülden Karaböcek
AU,Ve Haaniyaan,"Danny, Avvy Sra, Sagar"
AU,Whatever She Wants,Bryson Tiller
AU,Scared To Start,Michael Marcagi
AU,Praise Jah In The Moonlight,YG Marley
AU,Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL
AU,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel"
AU,VVS Switch,Pressure 9X19
AU,Deeper Well,Kacey Musgraves
AU,Saturn,SZA
BA,we can't be friends (wait for your love),Ariana Grande
BA,Beautiful Things,Benson Boone
BA,End of Beginning,Djo
BA,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
BA,Lose Control,Teddy Swims
BA,greedy,Tate McRae
BA,Cruel Summer,Taylor Swift
BA,Gata Only,"FloyyMenor, Cris Mj"
BA,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
BA,TEXAS HOLD 'EM,Beyoncé
BA,My Love Mine All Mine,Mitski
BA,Stick Season,Noah Kahan
BA,LUNA,"Feid, ATL Jacob"
BA,La Diabla,Xavi
BA,Saturn,SZA
BA,"yes, and?",Ariana Grande
BA,redrum,21 Savage
BA,the boy is mine,Ariana Grande
BA,FRI(END)S,V
BA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti"
BA,Madonna,"Natanael Cano, Oscar Maydon"
BA,Lovin On Me,Jack Harlow
BA,I Wanna Be Yours,Arctic Monkeys
BA,LA FALDA,Myke Towers
BA,Unwritten,Natasha Bedingfield
BA,The Night We Met,Lord Huron
BA,Houdini,Dua Lipa
BA,Training Season,Dua Lipa
BA,Scared To Start,Michael Marcagi
BA,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
BA,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
BA,Water,Tyla
BA,PERRO NEGRO,"Bad Bunny, Feid"
BA,La Víctima,Xavi
BA,Strangers,Kenya Grace
BA,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
BA,Whatever She Wants,Bryson Tiller
BA,Starboy,"The Weeknd, Daft Punk"
BA,Like Crazy,Jimin
BA,Praise Jah In The Moonlight,YG Marley
BA,Lan,Zeynep Bastık
BA,QLONA,"KAROL G, Peso Pluma"
BA,bye,Ariana Grande
BA,eternal sunshine,Ariana Grande
BA,Standing Next to You,Jung Kook
BA,Flowers,Miley Cyrus
BA,intro (end of the world),Ariana Grande
BA,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna"
BA,Evergreen,Richy Mitch & The Coal Miners
BA,Austin,Dasha
BA,Mtg Quero Te Encontrar,"DJ JZ, Humberto & Ronaldo, Mc Mininin, Silvanno Salles, DJ LG PROD"
BA,End of Beginning,Djo
BA,smoke & a light,Ole 60
BA,She Know What She Wanted - Jersey Club Remix Slowed,"Godard, Ziahfyah"
